Date,Open,High,Low,Close,Adj Close,Volume
2023-01-13,24.440001,24.660000,24.250000,24.570000,24.570000,40002700
2023-01-16,24.410000,24.500000,23.830000,24.040001,24.040001,31973700
2023-01-17,24.110001,25.620001,24.110001,25.520000,25.520000,91797500
2023-01-18,25.840000,26.030001,25.000000,25.070000,25.070000,69692900
2023-01-19,25.000000,25.950001,24.790001,25.889999,25.889999,75553300
2023-01-20,25.889999,26.600000,25.420000,26.370001,26.370001,114219500
2023-01-23,26.270000,27.600000,26.129999,26.790001,26.790001,87678100
2023-01-24,27.469999,27.530001,26.370001,26.600000,26.600000,65794000
2023-01-25,26.549999,27.080000,26.010000,26.940001,26.940001,51832900
2023-01-26,27.090000,27.200001,25.799999,26.250000,26.250000,73344800
2023-01-27,26.180000,26.230000,25.440001,25.620001,25.620001,47681900
2023-01-30,25.850000,26.070000,25.510000,25.750000,25.750000,40683200
2023-01-31,25.629999,26.209999,25.520000,26.070000,26.070000,54048900
2023-02-01,26.070000,26.480000,25.450001,25.709999,25.709999,56349200
2023-02-02,25.510000,25.809999,24.420000,24.520000,24.520000,83823000
2023-02-03,24.540001,25.379999,24.420000,24.790001,24.790001,71170700
2023-02-06,24.870001,25.870001,24.750000,25.780001,25.780001,82794500
2023-02-07,25.910000,26.139999,25.459999,25.620001,25.620001,55311800
2023-02-08,25.799999,26.150000,25.559999,26.049999,26.049999,48713100
2023-02-09,26.049999,26.320000,25.790001,25.930000,25.930000,38198300
2023-02-10,25.980000,26.790001,25.930000,26.719999,26.719999,54683100
